interface,intf_op_status,vrf,ip_address
ge-0/0/7.670,down,vpnmonitor,inet,5.119.80.157/30
ge-0/0/7.672,down,default,inet,172.17.198.125/30
ge-0/0/7.673,down,default,inet,172.17.198.129/30
ge-0/0/7.679,down,default,inet,41.33.58.69/30
ge-0/0/7.681,down,cib,inet,10.217.2.85/30
ge-0/0/7.682,down,vpnmonitor,inet,5.3.40.9/30
ge-0/0/7.690,down,default,inet,196.219.227.173/30
ge-0/0/7.691,down,edbe,inet,10.61.49.5/30
ge-0/0/7.698,down,arabland-bank,inet,172.19.10.2/30
ge-0/0/7.750,down,IP-SRV,inet,10.4.1.65/26
ge-0/0/7.823,down,NSGB,inet,10.54.17.5/30
ge-0/0/7.833,down,default,inet,172.17.137.125/30
ge-0/0/7.1141,down,HDB,inet,70.254.252.1/30
ge-0/0/7.1301,down,vpnmonitor,inet,5.120.15.93/30
ge-0/0/7.2112,down,default,inet,172.17.223.61/30
ge-0/0/7.2230,down,SFD,inet,172.16.11.1/30
ge-0/0/7.3626,down,Faisal-Bank,inet,172.18.165.129/30
ge-0/0/8.100,down,L2circuit-to-101,inet,100.100.100.2/24
ge-0/0/8.200,down,default,inet,200.200.200.2/24
ge-0/0/8.300,down,Customer-BGP2,inet,220.220.220.6/30
ge-0/0/8.400,down,default,inet,10.40.72.33/29
ge-0/0/8.401,down,L2circuit-2,inet,221.221.221.2/30
ge-0/0/8.941,down,TE-MSAN,inet,10.9.154.49/29
ge-0/0/8.942,down,TE-MNGT,inet,10.239.51.33/29
ge-0/0/8.943,down,SIP-MSAN,inet,10.9.154.49/29
ge-0/0/8.1110,down,default,inet,172.17.203.41/30
ge-0/0/8.1111,down,Ghorba,inet,172.17.139.181/30
ge-0/0/8.1191,down,vpnmonitor,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/8.1200,down,default,inet,172.17.215.177/30
ge-0/0/8.1201,down,vpnmonitor,inet,5.120.249.53/30
ge-0/0/8.1238,down,vpnmonitor,inet,5.125.41.165/30
ge-0/0/8.1239,down,sci,inet,172.17.128.5/30
ge-0/0/8.1262,down,vpnmonitor,inet,5.125.27.53/30
ge-0/0/8.1264,down,alsallab,inet,172.16.66.1/30
ge-0/0/8.1265,down,sakka1,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/8.1266,down,alsallab,inet,172.16.77.1/30
ge-0/0/8.1267,down,ragab,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/8.1311,down,default,inet,10.17.213.1/30
ge-0/0/8.2191,down,vpnmonitor,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/8.2300,down,ETISALAT-VPLS-BITSTREAM,vpls,**** NON IP INTERFACE ****
ge-0/0/8.2550,down,VODA-VPLS-BITSTREAM,vpls,**** NON IP INTERFACE ****
ge-0/0/8.2800,down,NOOR-VPLS-BITSTREAM,vpls,**** NON IP INTERFACE ****
ge-0/0/8.3050,down,ORANGE-VPLS-BITSTREAM,vpls,**** NON IP INTERFACE ****
ge-0/0/8.13101,down,incolease-cbe,inet,172.50.222.2/30
ge-0/0/8.13102,down,vpnmonitor,inet,5.119.0.161/30
ge-0/0/8.13105,down,gravena,inet,172.16.130.1/30
ge-0/0/8.13106,down,vpnmonitor,inet,5.120.144.1/30
ge-0/0/8.13107,down,bnp,inet,172.16.2.189/30
ge-0/0/8.13108,down,vpnmonitor,inet,5.120.127.241/30
ge-0/0/8.13110,down,vpnmonitor,inet,5.119.97.253/30
ge-0/0/8.13112,down,vpnmonitor,inet,5.119.97.249/30
ge-0/0/8.13113,down,alsallab,inet,172.16.128.1/30
ge-0/0/8.13114,down,vpnmonitor,inet,5.119.95.213/30
ge-0/0/8.13117,down,default,inet,172.17.107.101/30
ge-0/0/8.13118,down,vpnmonitor,inet,5.120.61.165/30
ge-0/0/8.13150,down,default,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/8.13151,down,amr,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/8.13170,down,default,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/9.100,down,L2circuit-to-105,inet,100.100.100.1/24
ge-0/0/9.200,down,default,inet,200.200.200.1/24
ge-0/0/9.300,down,Customer-BGP,inet,220.220.220.2/30
ge-0/0/9.400,down,L2circuit-1,inet,10.40.72.57/29
ge-0/0/9.400,down,L2circuit-1,inet,221.221.221.1/30
ge-0/0/9.413,down,default,inet,41.41.3.1/30
ge-0/0/9.414,down,default,inet,44.44.44.1/30
ge-0/0/9.754,down,vpnmonitor,inet,5.125.5.229/30
ge-0/0/9.788,down,vpnmonitor,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/9.806,down,default,inet,172.17.235.1/30
ge-0/0/9.861,down,default,inet,172.17.120.181/30
ge-0/0/9.870,down,vpnmonitor,inet,5.125.3.113/30
ge-0/0/9.941,down,TE-MSAN,inet,10.9.154.73/29
ge-0/0/9.942,down,TE-MNGT,inet,10.237.52.113/29
ge-0/0/9.942,down,TE-MNGT,inet,10.239.51.57/29
ge-0/0/9.943,down,SIP-MSAN,inet,10.9.154.73/29
ge-0/0/9.943,down,SIP-MSAN,inet,10.9.155.129/29
ge-0/0/9.945,down,TE-VOICE,inet,10.42.227.153/29
ge-0/0/9.1105,down,greece-cbe,inet,172.50.35.2/30
ge-0/0/9.1107,down,unitedbank-cbe,inet,172.50.14.2/30
ge-0/0/9.1108,down,faisal-cbe,inet,172.50.38.2/30
ge-0/0/9.1109,down,default,inet,172.18.250.145/30
